1000
T Rho Ye Ym Mue Mum Mun Mup Un Up
2.9955328e+01 6.4277180e+13 1.7612819e-01 2.7007927e-02 9.0802435e+01 6.3101208e+01 8.9834828e+02 8.3144664e+02 4.2891586e+01 2.8835296e+01 
4.0155846e+01 1.1558012e+14 2.2213735e-01 4.6804083e-02 1.1801055e+02 7.3453758e+01 8.8748722e+02 8.1755704e+02 7.7278491e+01 5.7661925e+01 
6.7725029e+00 9.4795635e+11 1.1969414e-01 3.0772866e-02 1.9071597e+01 8.5400009e+01 9.1952936e+02 9.0437334e+02 6.4625156e-01 4.1071059e-01 
7.5698361e+00 2.7998476e+12 8.6218387e-02 8.9358773e-02 2.6320854e+01 9.8677181e+01 9.2300676e+02 9.0529732e+02 1.7275951e+00 1.0911685e+00 
1.3390245e+01 1.0421237e+13 1.2254565e-01 9.1898761e-02 4.5558697e+01 9.9190256e+01 9.1404185e+02 8.8696943e+02 6.1964594e+00 4.1337831e+00 
3.1711452e+01 7.8518923e+13 1.7677836e-01 6.8763982e-02 9.7742191e+01 9.6022347e+01 8.9626181e+02 8.3501801e+02 5.1251411e+01 3.6425401e+01 
2.5132565e+01 7.5794274e+14 2.3506151e-01 3.5523318e-03 2.8303049e+02 9.0744515e+01 1.1073338e+03 9.9998544e+02 4.7376650e+02 4.5479131e+02 
2.3176817e+01 6.2095584e+14 2.4572098e-01 8.7323221e-02 2.6916538e+02 2.1266556e+02 1.0355257e+03 9.7276657e+02 3.8972199e+02 3.7401764e+02 
5.0746658e+01 3.0772434e+14 1.9963528e-01 9.8205580e-02 1.6254719e+02 1.3731374e+02 9.1921906e+02 8.3747414e+02 2.0085423e+02 1.7333153e+02 
2.2471016e+01 7.2494364e+14 2.3896208e-01 5.2927303e-02 2.8171099e+02 1.9362831e+02 1.0841564e+03 1.0016438e+03 4.5328397e+02 4.3724453e+02 
6.6409097e+00 5.1986946e+11 1.3487729e-01 2.4322240e-02 1.4744357e+01 8.0390254e+01 9.1627269e+02 9.0272430e+02 3.6296618e-01 2.3667934e-01 
6.4004006e+00 7.0722847e+11 1.1989014e-01 7.4661259e-02 1.6881329e+01 9.0997600e+01 9.1896081e+02 9.0707790e+02 4.6905837e-01 3.1385080e-01 
5.0786251e+01 3.2323310e+14 1.9519515e-01 6.9428517e-02 1.6464041e+02 1.1870798e+02 9.2839864e+02 8.3131832e+02 2.1160919e+02 1.7942320e+02 
8.9579134e+00 3.4802555e+12 1.0674563e-01 6.1104031e-02 3.0059211e+01 9.3097661e+01 9.1979104e+02 8.9901073e+02 2.2089799e+00 1.4023155e+00 
2.0325224e+01 6.1206250e+14 2.4867235e-01 1.0444599e-02 2.7041325e+02 1.2570787e+02 1.0425448e+03 9.5230923e+02 3.8508047e+02 3.6172788e+02 
6.7355852e+00 2.2215225e+11 1.9417912e-01 6.9391932e-02 1.0578936e+01 8.1223811e+01 9.0931956e+02 9.0075192e+02 1.4987189e-01 1.1214081e-01 
2.1098282e+01 6.0339338e+14 2.5286308e-01 2.0213900e-02 2.7026114e+02 1.4523289e+02 1.0370743e+03 9.5248170e+02 3.7952344e+02 3.5723458e+02 
2.2266487e+01 6.4812647e+14 2.4828529e-01 1.5551531e-02 2.7469543e+02 1.3696388e+02 1.0559518e+03 9.6534336e+02 4.0689770e+02 3.8549431e+02 
2.8062805e+01 8.5835651e+13 1.4557359e-01 8.7650835e-02 9.8300330e+01 1.1642257e+02 9.0785333e+02 8.4628983e+02 5.6441803e+01 3.9468088e+01 
1.7024725e+01 4.2687609e+13 9.5140703e-02 7.9148159e-02 7.0781014e+01 1.1508342e+02 9.2207901e+02 8.7365360e+02 2.7259688e+01 1.7320423e+01 
6.4157405e+00 4.2491242e+11 1.3974519e-01 7.5353024e-02 1.3713087e+01 8.7644346e+01 9.1564406e+02 9.0519738e+02 2.8661455e-01 1.9952536e-01 
9.5492363e+00 6.7898756e+12 8.9028783e-02 8.9497757e-02 3.6794326e+01 1.0237109e+02 9.2280343e+02 8.9901378e+02 4.0545024e+00 2.5504221e+00 
