1744
# Radius, Mass, Rho, T, Ye, Ym, Mu_e, Mu_mu, Mu_n, M_n_eff, U_n, Xn_val, Mu_p, M_p_eff, U_p, Xp_val
5.250000000000000000e+05 8.883755501644668984e-02 2.320332863345209688e+14 9.862607242965124144e+00 2.412578969377476290e-01 6.420206458101423519e-05 1.169879603654385960e+02 6.336183668465877616e+01 9.474058826134612445e+02 7.378919089646556131e+02 1.566121601461957766e+02 7.549153551476731616e-01 8.817861277027835740e+02 7.365985086243846354e+02 1.230697230785030598e+02 2.395932823597098082e-01
5.750000000000000000e+05 1.118853004472641632e-01 2.205612785943963125e+14 9.697863721811392779e+00 2.423412326266352057e-01 5.158324327536054017e-05 1.143629151749983350e+02 6.171606748297977418e+01 9.458458483278549238e+02 7.459587612843279203e+02 1.494577876960826188e+02 7.526763312708889542e-01 8.822420095382677800e+02 7.446654026447214392e+02 1.166679099410488618e+02 2.400945448791833026e-01
6.250000000000000000e+05 1.375799738324733346e-01 2.081227609449203438e+14 9.466183830751063510e+00 2.433784434102794492e-01 3.821944696870379000e-05 1.113842823722338409e+02 5.974784827154201139e+01 9.443047382489520487e+02 7.548831552451295011e+02 1.414130736470767147e+02 7.507425274972219231e-01 8.830607891402632958e+02 7.535897612410326474e+02 1.096152570434844051e+02 2.406288440774979054e-01
6.750000000000000000e+05 1.656892221756742500e-01 1.951992742055675625e+14 9.149399056032311961e+00 2.442513719524311289e-01 2.563383670757303850e-05 1.081296550635725282e+02 5.754966466706571993e+01 9.428183932417351798e+02 7.642806674414364352e+02 1.331546059869753549e+02 7.494252502865975663e-01 8.841214621052312168e+02 7.629872910573575382e+02 1.024659404108576268e+02 2.412121692716777954e-01
7.250000000000000000e+05 1.957403499761051491e-01 1.808927970212719062e+14 8.916296522873642161e+00 2.444167499687900924e-01 1.725607967279406353e-05 1.041371404235639773e+02 5.494188684981184423e+01 9.413248205488977192e+02 7.748540723901852516e+02 1.240327114645065620e+02 7.499340174026671857e-01 8.853758169335254706e+02 7.735607236927561416e+02 9.465039140933455997e+01 2.416009477278043271e-01
7.750000000000000000e+05 2.272098600937262902e-01 1.657765468752855312e+14 8.684575271294072252e+00 2.435422042736441472e-01 1.125551501645542622e-05 9.947995104675460709e+01 5.216350142037805426e+01 9.399719133761917647e+02 7.862334443442969132e+02 1.143289936343757631e+02 7.522179728155398148e-01 8.869296035581244269e+02 7.849401056812291699e+02 8.644234026059743314e+01 2.413443182008895016e-01
8.250000000000000000e+05 2.597567479191376649e-01 1.512997051590410625e+14 8.236947160908252741e+00 2.414397181136599402e-01 6.063634191866615393e-06 9.461692603554013203e+01 4.978480007989708156e+01 9.389561370100514068e+02 7.971294946947264179e+02 1.051212201869051768e+02 7.585460148756072440e-01 8.888423291537900468e+02 7.958361514254710301e+02 7.877235810680475936e+01 2.414206608948756272e-01
8.750000000000000000e+05 2.930717416937938524e-01 1.376766031068050938e+14 7.441682742344661428e+00 2.378019872954980629e-01 2.500287699797132511e-06 8.962546555545365834e+01 4.911403922547471979e+01 9.383998340183497930e+02 8.078951328273673198e+02 9.620109689547152243e+01 7.621843267224812646e-01 8.911456043822022366e+02 8.066017924178329395e+02 7.133595243884384729e+01 2.377678808335791927e-01
9.250000000000000000e+05 3.241635504452375915e-01 1.149738392904685469e+14 7.924481547645503277e+00 2.330239613356709372e-01 1.870659833254526439e-06 8.048807689319637859e+01 4.090770194152310069e+01 9.370251733350257837e+02 8.271426944626753084e+02 8.071228325352544175e+01 7.615982933227334328e-01 8.942441767878069641e+02 8.258493542291632821e+02 5.892797236929293092e+01 2.299642961762354276e-01
9.750000000000000000e+05 3.527403621918244747e-01 9.511325711383953125e+13 8.155964680147553381e+00 2.186842987393171622e-01 2.149365482707456798e-06 7.010501565131087887e+01 3.821919519427341072e+01 9.368102685050037053e+02 8.460838660241913658e+02 6.624797536810652332e+01 7.550949339566912499e-01 8.969203481359052148e+02 8.447905215347086596e+02 4.698164496563664727e+01 2.041245012077051169e-01
