1000
T Rho Ye Ym Mue Mum Mun Mup Un Up M*n M*p
1.7251839e+01 5.0026860e+14 2.6693547e-01 4.8792380e-02 2.5988827e+02 1.7628812e+02 9.9663577e+02 9.3298899e+02 3.1645575e+02 2.9531943e+02 5.8069932e+02 5.7940599e+02 
2.5179729e+01 3.7353878e+14 2.5913402e-01 1.7575471e-02 2.2798538e+02 1.1763109e+02 9.6461381e+02 8.8935140e+02 2.4141860e+02 2.1173557e+02 6.5215377e+02 6.5086043e+02 
4.7273914e+01 2.0225610e+14 2.1433854e-01 7.7360115e-02 1.4140215e+02 1.0604738e+02 8.9812808e+02 8.2097451e+02 1.3754703e+02 1.1145538e+02 7.6885369e+02 7.6756035e+02 
6.4033298e+00 5.0238249e+11 1.3433240e-01 5.0781188e-02 1.4829121e+01 8.6217974e+01 9.1700691e+02 9.0511790e+02 3.4301972e-01 2.2971913e-01 9.3900863e+02 9.3771529e+02 
2.0329372e+01 3.1642314e+13 1.3827471e-01 6.2434247e-03 6.8462215e+01 4.6115877e+01 9.1125053e+02 8.5490943e+02 2.1267048e+01 1.3245419e+01 9.0897298e+02 9.0767965e+02 
1.9801998e+01 3.6800384e+14 2.6858830e-01 9.8537861e-02 2.3303724e+02 1.9292811e+02 9.5450931e+02 9.1188434e+02 2.3445028e+02 2.1696307e+02 6.5314850e+02 6.5185516e+02 
6.6815672e+00 2.8922308e+11 1.7207067e-01 5.2162969e-03 1.1786350e+01 6.5921121e+01 9.1215194e+02 8.9996454e+02 2.0374798e-01 1.3737284e-01 9.3923420e+02 9.3794086e+02 
6.6523824e+00 9.2164044e+11 1.1391015e-01 4.3717310e-02 1.8496450e+01 8.8144538e+01 9.1978915e+02 9.0526425e+02 6.2388833e-01 3.9901077e-01 9.3857251e+02 9.3727917e+02 
3.0970688e+01 4.5270093e+14 2.4969736e-01 9.1803552e-02 2.3671304e+02 1.8920019e+02 9.7491972e+02 9.1751874e+02 2.8693913e+02 2.6758857e+02 6.1046277e+02 6.0916943e+02 
2.7873436e+01 6.9310082e+14 2.3831154e-01 5.2691625e-02 2.7393017e+02 1.8553453e+02 1.0702286e+03 9.8713847e+02 4.3430622e+02 4.1706029e+02 4.9789544e+02 4.9660210e+02 
7.0886617e+00 1.2862237e+12 1.1123680e-01 8.3439875e-03 2.0976034e+01 7.6765493e+01 9.2048425e+02 9.0208684e+02 8.9337888e-01 5.4771851e-01 9.3817034e+02 9.3687700e+02 
2.2203096e+01 6.4646432e+14 2.4846116e-01 9.1040586e-03 2.7455128e+02 1.1996438e+02 1.0561647e+03 9.6311392e+02 4.0593845e+02 3.8386586e+02 5.1552476e+02 5.1423142e+02 
3.5645420e+01 1.7792496e+14 1.5658166e-01 6.2027295e-02 1.2990592e+02 1.1544376e+02 9.1969754e+02 8.2885058e+02 1.2358363e+02 9.0580894e+01 7.8468225e+02 7.8338891e+02 
4.7692070e+01 4.9528009e+14 2.4063085e-01 2.3869789e-02 2.2445625e+02 9.0170442e+01 9.8781637e+02 8.8855930e+02 3.1478688e+02 2.8705055e+02 5.9662138e+02 5.9532805e+02 
3.1457235e+01 5.1761070e+14 2.4631883e-01 2.6482604e-02 2.4703183e+02 1.3332713e+02 1.0044211e+03 9.1859170e+02 3.2817084e+02 3.0245759e+02 5.7803772e+02 5.7674438e+02 
2.3703501e+01 6.9194198e+14 2.4178743e-01 3.7907309e-02 2.7766670e+02 1.7341149e+02 1.0720144e+03 9.8552547e+02 4.3363687e+02 4.1539524e+02 4.9682066e+02 4.9552732e+02 
1.8448421e+01 1.9733494e+13 1.4652134e-01 3.9266708e-02 5.8492191e+01 8.0898287e+01 9.0754916e+02 8.6611229e+02 1.2530732e+01 8.1725793e+00 9.2077520e+02 9.1948186e+02 
2.4654760e+01 5.2097336e+14 2.5131017e-01 1.7836670e-02 2.5423675e+02 1.3031713e+02 1.0081598e+03 9.2414334e+02 3.3027104e+02 3.0431831e+02 5.7352586e+02 5.7223253e+02 
8.2664833e+00 5.2321499e+12 7.8992814e-02 8.8013571e-02 3.2617554e+01 1.0244008e+02 9.2503111e+02 9.0314563e+02 3.1414582e+00 1.9393351e+00 9.3471122e+02 9.3341788e+02 
4.8206463e+01 4.5768574e+14 2.4244581e-01 5.2843461e-02 2.1715130e+02 1.2882827e+02 9.7003482e+02 8.8503487e+02 2.9134433e+02 2.6617112e+02 6.1571917e+02 6.1442583e+02 
2.1916765e+01 4.0952077e+14 2.6238292e-01 8.2568301e-02 2.3873503e+02 1.8756770e+02 9.6651464e+02 9.1470900e+02 2.6063542e+02 2.4085685e+02 6.3028086e+02 6.2898752e+02 
7.4488363e+00 1.8319882e+12 1.0371758e-01 8.1075634e-02 2.3601191e+01 9.4762041e+01 9.2054458e+02 9.0493821e+02 1.1618565e+00 7.5358469e-01 9.3771514e+02 9.3642179e+02 
5.6630306e+00 2.7750312e+11 1.5062758e-01 8.0647384e-02 1.2279063e+01 8.8845893e+01 9.1703703e+02 9.0835551e+02 1.8674521e-01 1.3253398e-01 9.3925410e+02 9.3796076e+02 
3.2727261e+01 7.2829915e+14 2.3464175e-01 6.1952788e-02 2.7388033e+02 1.9194248e+02 1.0833091e+03 9.9980720e+02 4.5543057e+02 4.3983074e+02 4.8618396e+02 4.8489062e+02 
2.4472998e+01 2.7414196e+14 2.6340166e-01 2.4114162e-02 2.0558630e+02 1.1924524e+02 9.4238923e+02 8.7710182e+02 1.8079887e+02 1.5219602e+02 7.1275045e+02 7.1145711e+02 
2.5028997e+01 4.0325712e+13 1.6754405e-01 9.7465664e-02 7.6754173e+01 1.0199752e+02 8.9695978e+02 8.5527636e+02 2.4417095e+01 1.7575100e+01 9.0326509e+02 9.0197175e+02 
7.2737632e+00 1.9063712e+12 9.5279180e-02 5.5220220e-02 2.3349171e+01 9.2658892e+01 9.2191846e+02 9.0425481e+02 1.2490431e+00 7.7925565e-01 9.3760559e+02 9.3631226e+02 
2.9653530e+01 7.5401426e+14 2.3791251e-01 4.3241196e-02 2.8091206e+02 1.7732013e+02 1.0985220e+03 1.0084121e+03 4.7161359e+02 4.5573415e+02 4.7523211e+02 4.7393877e+02 
7.3985920e+00 1.6395937e+12 1.0758629e-01 6.9871489e-02 2.2815761e+01 9.2880574e+01 9.2010839e+02 9.0442948e+02 1.0581833e+00 6.8384092e-01 9.3788160e+02 9.3658826e+02 
4.7375835e+01 2.2461256e+14 2.0622383e-01 7.4788091e-03 1.4608236e+02 1.9750837e+01 9.1374962e+02 8.0278079e+02 1.5528162e+02 1.1804328e+02 7.5276682e+02 7.5147348e+02 
2.3852612e+01 6.9967762e+14 2.4359915e-01 2.2648408e-02 2.7939148e+02 1.5141771e+02 1.0772035e+03 9.8479703e+02 4.3833198e+02 4.1922143e+02 4.9409829e+02 4.9280495e+02 
7.9796286e+00 2.0920246e+12 1.1009915e-01 7.4526145e-02 2.5105699e+01 9.3441902e+01 9.1937780e+02 9.0275040e+02 1.3309771e+00 8.6563404e-01 9.3744872e+02 9.3615539e+02 
3.3183136e+01 5.3412462e+14 2.4436310e-01 3.6588030e-02 2.4776478e+02 1.4638737e+02 1.0083482e+03 9.2439302e+02 3.3795146e+02 3.1379189e+02 5.7071114e+02 5.6941780e+02 
5.2816929e+01 3.1528768e+14 2.0816518e-01 6.2175914e-02 1.6469909e+02 1.0598403e+02 9.2224176e+02 8.2638331e+02 2.0647198e+02 1.7504330e+02 6.9644522e+02 6.9515188e+02 
4.9501789e+01 3.5220829e+14 2.4462079e-01 6.3592265e-02 1.9271170e+02 1.2143416e+02 9.3296134e+02 8.5502489e+02 2.2737844e+02 2.0155912e+02 6.7352153e+02 6.7222819e+02 
2.4147350e+01 5.7417747e+14 2.4860987e-01 3.1766810e-02 2.6241047e+02 1.5678461e+02 1.0252860e+03 9.4368224e+02 3.6217299e+02 3.3952937e+02 5.4788222e+02 5.4658888e+02 
2.0550188e+01 5.9259060e+14 2.5064522e-01 1.9106550e-02 2.6802914e+02 1.4336781e+02 1.0337925e+03 9.4853136e+02 3.7325811e+02 3.5021554e+02 5.3825188e+02 5.3695854e+02 
2.5531019e+01 6.2740506e+14 2.4413432e-01 2.7214298e-02 2.6816169e+02 1.5217463e+02 1.0463540e+03 9.5856027e+02 3.9445305e+02 3.7292985e+02 5.2476052e+02 5.2346718e+02 
2.1976524e+01 6.4336651e+14 2.4900234e-01 4.0219055e-02 2.7441906e+02 1.7459451e+02 1.0506656e+03 9.7044869e+02 4.0392770e+02 3.8476548e+02 5.1611791e+02 5.1482457e+02 
9.3874340e+00 6.5351209e+12 8.8036880e-02 1.9591469e-02 3.6200692e+01 8.6697365e+01 9.2438562e+02 8.9404844e+02 4.3668225e+00 2.5909496e+00 9.3295698e+02 9.3166364e+02 
4.9338394e+01 2.3632809e+14 2.3443530e-01 1.1321904e-02 1.5656481e+02 2.7196255e+01 9.0911369e+02 8.0986229e+02 1.6087609e+02 1.2747834e+02 7.4514162e+02 7.4384829e+02 
5.6230693e+00 2.5023778e+11 1.5553579e-01 3.3531254e-02 1.1823967e+01 8.3451682e+01 9.1703563e+02 9.0693771e+02 1.7388450e-01 1.1780753e-01 9.3928103e+02 9.3798769e+02 
6.6536746e+00 3.9162823e+11 1.5095031e-01 1.7306935e-02 1.3247723e+01 7.6149456e+01 9.1432867e+02 9.0151402e+02 2.7487150e-01 1.8230047e-01 9.3912145e+02 9.3782811e+02 
6.6497960e+00 8.8792728e+11 1.1432168e-01 8.7504468e-02 1.8170822e+01 9.2667998e+01 9.1909092e+02 9.0689404e+02 5.7820192e-01 3.8828621e-01 9.3862695e+02 9.3733361e+02 
2.6145151e+01 8.0782060e+14 2.3314430e-01 9.4787345e-02 2.8800630e+02 2.3266659e+02 1.1169109e+03 1.0455802e+03 5.0463519e+02 4.9374592e+02 4.5289934e+02 4.5160601e+02 
2.6947283e+01 4.1397475e+14 2.5488061e-01 5.5229381e-03 2.3389906e+02 8.0866410e+01 9.7603263e+02 8.9190762e+02 2.6610739e+02 2.3520203e+02 6.3013983e+02 6.2884649e+02 
2.4207693e+01 7.0802153e+14 2.4324283e-01 8.4776691e-03 2.8021154e+02 1.1669821e+02 1.0827299e+03 9.8375391e+02 4.4328580e+02 4.2326028e+02 4.9131512e+02 4.9002178e+02 
4.3943249e+01 1.6727290e+14 2.0969149e-01 6.0784833e-03 1.3193599e+02 1.5389936e+01 9.0251884e+02 8.0198624e+02 1.1675113e+02 8.4725806e+01 7.9448351e+02 7.9319017e+02 
7.1760364e+00 1.8112224e+12 9.3450293e-02 2.9057916e-02 2.2695092e+01 8.7830902e+01 9.2232024e+02 9.0297693e+02 1.2289840e+00 7.4784979e-01 9.3765466e+02 9.3636132e+02 
2.6406946e+01 3.8683861e+14 2.5700596e-01 3.6402616e-02 2.2931292e+02 1.4301007e+02 9.6533055e+02 8.9470802e+02 2.4884605e+02 2.2172171e+02 6.4492264e+02 6.4362930e+02 
2.1191053e+01 6.1788775e+14 2.4740194e-01 1.5613289e-02 2.7039299e+02 1.3708983e+02 1.0442942e+03 9.5505467e+02 3.8866856e+02 3.6595398e+02 5.2734051e+02 5.2604718e+02 
3.9151382e+01 1.1400571e+14 2.1210502e-01 7.7457904e-02 1.1601782e+02 9.7311452e+01 8.8707351e+02 8.2476616e+02 7.5058221e+01 5.7364118e+01 8.3881299e+02 8.3751966e+02 
2.2235279e+01 4.3223444e+13 1.3724290e-01 4.9090963e-02 7.6173332e+01 9.2185376e+01 9.0981499e+02 8.5547648e+02 2.8100453e+01 1.8313058e+01 8.9934838e+02 8.9805504e+02 
4.5730778e+01 1.8162120e+14 2.1358934e-01 2.5977043e-02 1.3597673e+02 5.3059827e+01 9.0081998e+02 8.0613038e+02 1.2566423e+02 9.4778221e+01 7.8390377e+02 7.8261044e+02 
3.6708668e+01 1.3178877e+14 1.7702217e-01 1.7200741e-02 1.1777313e+02 5.0559097e+01 9.0759962e+02 8.1383992e+02 9.2337799e+01 6.3491701e+01 8.2180279e+02 8.2050946e+02 
6.3608837e+00 1.2863620e+11 2.2581893e-01 8.7344358e-02 8.4660124e+00 8.1143664e+01 9.0772026e+02 9.0126911e+02 8.5387528e-02 6.7981990e-02 9.3941642e+02 9.3812308e+02 
1.4784611e+01 2.8359266e+13 9.2508435e-02 8.7490068e-02 6.1095823e+01 1.1271479e+02 9.2206844e+02 8.8190905e+02 1.7363046e+01 1.1009903e+01 9.1398766e+02 9.1269432e+02 
1.8758247e+01 2.3957483e+13 1.3852358e-01 7.5951311e-02 6.2104532e+01 9.7639152e+01 9.0838893e+02 8.6947482e+02 1.4638717e+01 9.8219762e+00 9.1755199e+02 9.1625865e+02 
4.8403408e+01 2.1658659e+14 2.1735694e-01 2.6565775e-02 1.4564411e+02 5.4619958e+01 9.0579727e+02 8.0765219e+02 1.4876833e+02 1.1595147e+02 7.5860451e+02 7.5731117e+02 
3.1531494e+01 8.0233252e+13 1.7472370e-01 3.6375867e-02 9.8515875e+01 7.4920135e+01 9.0000220e+02 8.2935384e+02 5.3921594e+01 3.6761769e+01 8.6632368e+02 8.6503034e+02 
3.3773033e+01 7.9052841e+13 1.9435470e-01 8.7209493e-02 9.9554687e+01 1.0017605e+02 8.8840133e+02 8.3430351e+02 5.0385220e+01 3.7535937e+01 8.6892821e+02 8.6763487e+02 
3.5013706e+01 1.5857182e+14 1.5876417e-01 7.6901420e-02 1.2478889e+02 1.2121432e+02 9.1409962e+02 8.3236445e+02 1.0923239e+02 8.0353663e+01 8.0022807e+02 7.9893474e+02 
4.9853596e+01 5.5650324e+14 2.3680332e-01 2.4761093e-02 2.3144693e+02 9.2987659e+01 1.0090822e+03 9.0557462e+02 3.5159083e+02 3.2591190e+02 5.6850572e+02 5.6721238e+02 
5.0131752e+01 5.5991261e+14 2.3649600e-01 4.5987958e-02 2.3157372e+02 1.2853355e+02 1.0073519e+03 9.1341829e+02 3.5342640e+02 3.3023548e+02 5.6688743e+02 5.6559410e+02 
7.4615765e+00 2.1170107e+12 9.1863059e-02 4.0928405e-02 2.3855090e+01 9.0478662e+01 9.2215802e+02 9.0262865e+02 1.4129685e+00 8.6657443e-01 9.3736569e+02 9.3607234e+02 
4.6975410e+01 5.8211208e+14 2.3687661e-01 2.3962039e-02 2.3928859e+02 1.0057450e+02 1.0214213e+03 9.1905622e+02 3.6717983e+02 3.4252493e+02 5.5530996e+02 5.5401662e+02 
1.9670918e+01 3.9810429e+13 1.2008894e-01 5.7686784e-02 7.2388218e+01 1.0062993e+02 9.1505376e+02 8.6385895e+02 2.5712194e+01 1.6511487e+01 9.0258929e+02 9.0129595e+02 
6.5131698e+00 1.0509902e+11 2.5054607e-01 1.2113332e-02 7.5915110e+00 6.6083699e+01 9.0589347e+02 8.9770772e+02 7.2045350e-02 5.4243463e-02 9.3944280e+02 9.3814945e+02 
6.7216730e+00 8.6225578e+11 1.1601809e-01 7.8599941e-02 1.7907658e+01 9.1450734e+01 9.1867839e+02 9.0610359e+02 5.6756464e-01 3.7905868e-01 9.3864652e+02 9.3735318e+02 
3.0721296e+01 7.9814847e+14 2.3117898e-01 8.5540164e-02 2.8302977e+02 2.2070064e+02 1.1129977e+03 1.0363198e+03 4.9841373e+02 4.8649751e+02 4.5868760e+02 4.5739426e+02 
7.3630147e+00 2.4244550e+12 8.7890141e-02 4.8447172e-02 2.5096962e+01 9.3197542e+01 9.2334289e+02 9.0371362e+02 1.5893023e+00 9.7121121e-01 9.3709561e+02 9.3580227e+02 
5.8637285e+00 1.1918599e+11 2.1657537e-01 1.1468856e-02 8.5786955e+00 7.1435905e+01 9.1118155e+02 9.0249519e+02 8.2841932e-02 5.9607728e-02 9.3942679e+02 9.3813345e+02 
2.5435226e+01 6.0975810e+13 1.4446847e-01 9.8293381e-02 8.6802607e+01 1.1415249e+02 9.0542378e+02 8.5435647e+02 3.8434882e+01 2.6921388e+01 8.8477702e+02 8.8348368e+02 
2.9985327e+01 1.1645230e+14 1.4532019e-01 6.2514335e-02 1.1031080e+02 1.1110227e+02 9.1457483e+02 8.3743084e+02 7.9986400e+01 5.5162725e+01 8.3462145e+02 8.3332811e+02 
6.9246006e+00 1.5983512e+12 9.4236024e-02 2.2241104e-02 2.1795206e+01 8.6084606e+01 9.2259085e+02 9.0361117e+02 1.0964408e+00 6.6404177e-01 9.3786155e+02 9.3656821e+02 
1.9207903e+01 2.5973079e+13 1.3900033e-01 8.3704766e-02 6.4001761e+01 1.0048381e+02 9.0797703e+02 8.6914926e+02 1.5757349e+01 1.0672581e+01 9.1588647e+02 9.1459312e+02 
7.1313858e+00 1.1115022e+11 2.7068099e-01 5.7384033e-02 7.4148791e+00 7.2794713e+01 9.0144258e+02 8.9492009e+02 7.3730817e-02 5.9997412e-02 9.3943581e+02 9.3814247e+02 
